time,seconds_elapsed,x,y,z
1775728229675480000,8.65347998046875,1.9908796871046255,0.9974874992841674,-9.484120781989262
1775728229694008600,8.672008544921875,1.782968015645785,0.8444842214017712,-9.575086240812762
1775728229712537300,8.690537353515625,0.5377771031524261,0.5012835875439325,-3.845105803014171
1775728229731066000,8.709066162109375,-1.0239712929598959,-0.7207025869785246,-0.49066209649590675
1775728229749595000,8.727594970703125,-2.943790312803791,-1.4576120828653787,-3.2620497575054213
1775728229768123400,8.746123291015625,-5.435529503124771,-1.4333945483397503,-8.079132618335274
1775728229786652200,8.764652099609375,-5.625433961321137,-1.525129922976264,-8.62788481219925
1775728229805181000,8.783180908203125,-4.49137290667263,-0.4996964676475324,-7.523951044213357
1775728229823709700,8.801709716796875,-2.8482061214867795,0.14084188877336867,-6.551339213304738
1775728229842238500,8.820238525390625,-2.895392689083968,0.034230204400348185,-6.590723761894727
1775728229860767000,8.83876708984375,-1.8943214360407996,0.38525474100448864,-7.203545246461626
1775728229879295700,8.857295654296875,-3.5883387080746223,-0.13414672094309132,-7.394540348682643
1775728229897824500,8.875824462890625,-3.6678896213168906,-0.08225136668327515,-7.346802846510643
1775728229916353300,8.894353271484375,-4.0385996289546116,1.0012385366782173,-3.8508680276983043
1775728229934882000,8.912882080078125,-3.7031375161223004,0.6306602761442566,-2.31909040488787
1775728229953410600,8.93141064453125,-3.720492579676212,0.873655399255667,-2.183159216693088
1775728229971939300,8.949939208984375,1.8033817271895245,-1.1336101397462883,9.164764855694761
1775728229990468000,8.968468017578125,1.8179970665280698,-1.0809105289034369,9.190601830401317
1775728230008996900,8.986996826171875,0.5697561494701482,-3.1360709081372375,-6.540608198110938
1775728230027525400,9.005525390625,-5.770675288029075,-4.2255127292304895,-4.2737031153216885
1775728230046054100,9.02405419921875,-7.243903623246381,-6.396644512580532,3.833180854814124
1775728230064583000,9.0425830078125,-6.122040523232491,-8.754684281912859,-8.567895871887078
1775728230083111700,9.061111572265625,-7.93822957563382,-6.145003805526288,-8.744188636472396
1775728230101640400,9.079640380859376,-7.867322401452984,-5.783698585309247,-8.448991153986835
1775728230120169000,9.0981689453125,-4.599572066476848,-1.3222447797462094,-1.413288141736027
1775728230138697700,9.11669775390625,-4.527630745643499,-1.0967991901294356,-1.200045405463685
1775728230157226500,9.1352265625,-1.8646843166668186,-0.8839154455261866,-4.866177712393368
1775728230175755300,9.15375537109375,-2.0573297434442184,-1.8055203938658808,-3.557729089480956
1775728230194284000,9.172283935546876,-2.1023951970856998,-1.614435246869486,-3.3170899978879795
1775728230212812800,9.190812744140626,-3.4322497306857347,-1.0951224849804184,-2.666090284553815
1775728230231341300,9.20934130859375,-4.883624428574085,-1.3656673062242568,-2.5706857436709587
1775728230249870000,9.2278701171875,-5.3223382116946185,-0.8132339161201259,-3.4166998610866264
1775728230268398800,9.24639892578125,-4.481116221308037,0.0434250271817227,-2.6887407980799187
1775728230286927400,9.26492724609375,-5.247596119841111,0.8084101777927479,-2.4871253105446174
1775728230305456000,9.2834560546875,-4.800096891336308,1.3702875361803137,-2.3307011133979287
1775728230323985000,9.30198486328125,-4.205066023566601,1.653019365623317,-3.321638040861055
1775728230342513700,9.320513671875,-4.170404289240693,1.763169738791916,-3.1135888402419374
1775728230361042400,9.33904248046875,-2.7831579803396216,2.0677230906919757,-2.309334124741424
1775728230379571200,9.3575712890625,-2.7831579803396216,2.0677230906919757,-2.309334124741424
1775728230398099700,9.376099609375,-2.8300886158685823,2.1921769562985887,-2.0184035744867117
1775728230416628500,9.39462841796875,-4.10217703666577,2.020816636104744,-0.5865487437353005
1775728230435157200,9.4131572265625,-4.670363496857433,1.5873209768498615,-1.1156398346699827
1775728230453686000,9.43168603515625,-5.744079655202485,-1.3457440048197835,-3.0893233100788304
1775728230472214500,9.450214599609374,-5.744079655202485,-1.3457440048197835,-3.0893233100788304
1775728230490743300,9.468743408203125,-5.155208684989577,-1.730690504063519,-0.9596504638602354
1775728230509272000,9.48727197265625,-5.3732977385875715,-2.1432313025358045,-0.8787222793584473
1775728230527800800,9.50580078125,-5.377916057066319,-2.122015981596695,-0.8136510834207931
1775728230546329600,9.52432958984375,-5.335930016957372,-3.560410908770244,-0.5273146842871528
1775728230564858000,9.542858154296875,-4.688386797622079,-4.7239556345275275,-1.9305853069792684
1775728230583387000,9.561386962890625,-4.688386797622079,-4.7239556345275275,-1.9305853069792684
1775728230601915600,9.57991552734375,-3.7922813702105027,-5.342497567590851,-2.791396023826662
1775728230620444400,9.5984443359375,-4.831220617356195,-5.589675245857201,-3.1037729557217775
1775728230638973200,9.61697314453125,-4.831220617356195,-5.589675245857201,-3.1037729557217775
1775728230657501700,9.635501708984375,-5.5937206727827355,-3.230418786527105,-0.4219720792394339
1775728230676030500,9.654030517578125,-5.064029839793307,-2.4294021052861936,2.7567570171476374
1775728230694559200,9.672559326171875,-5.064029839793307,-2.4294021052861936,2.7567570171476374
1775728230713088000,9.691087890625,-3.803181787116681,-2.2761404035436392,8.405078808166966
1775728230731616500,9.709616455078125,-8.190599681548427,-4.188314287257549,5.785390814949652
1775728230750145300,9.728145263671875,-8.118470219550314,-4.551366366667384,5.14457584495155
1775728230768674000,9.746674072265625,-6.467452051422166,-6.363934462130334,-8.016857526978843
1775728230787202800,9.765202880859375,-6.467452051422166,-6.363934462130334,-8.016857526978843
1775728230805731600,9.783731689453125,-1.236878622571123,-3.8839017321916387,-9.915638436731676
1775728230824260000,9.802260009765625,-1.236878622571123,-3.8839017321916387,-9.915638436731676
1775728230842788900,9.820788818359375,2.3364408999035033,1.7909817643062844,-10.75279056980509
1775728230861317600,9.839317626953125,2.3364408999035033,1.7909817643062844,-10.75279056980509
1775728230879846400,9.857846435546875,-0.11749292667564237,2.071264254389243,-4.932173133278171
1775728230898375200,9.876375244140625,-3.650758882944614,0.7618298621405799,1.632985357001882
1775728230916903700,9.894903564453125,-3.724708597955094,0.3505661269482756,1.3195988711249367
1775728230935432400,9.913432373046875,-3.928090073755107,-1.3694249142811081,-4.016057086870823
1775728230953961200,9.931961181640625,-4.077947729682314,-1.7544960384787194,-8.874606555759026
1775728230972490000,9.950489990234376,-3.461713008014666,0.3132416979306427,-7.4804893300182
1775728230991018500,9.9690185546875,-3.209288182965424,1.1907303147346857,-5.13410919601062
1775728231009547300,9.98754736328125,-3.209288182965424,1.1907303147346857,-5.13410919601062
1775728231028076000,10.006075927734376,-3.1128183526760353,0.27333540439453863,-5.96771984332851
1775728231046604800,10.024604736328126,-2.1439602247769134,-0.0817411995738464,-7.702673089115155
1775728231065133600,10.043133544921876,-2.9966166057887627,0.2415405758334801,-6.5404597157452695
1775728231083662000,10.061662109375,-3.048677055546304,0.3186900237078465,-6.486563233717623
1775728231102190800,10.08019091796875,-3.527928293279553,0.6438772347213302,-5.0152468488542326
1775728231120719600,10.0987197265625,-2.9004759867738814,1.0387288230521596,-3.0964028981179847
1775728231139248400,10.117248291015626,0.9994397079187831,3.203401578486761,18.040784258056945
1775728231157777000,10.13577685546875,1.0838869639093984,3.1243107750321544,17.971387003570015
1775728231176305700,10.1543056640625,3.476413144371719,-3.2290653994294933,-0.008293391898833491
1775728231194834400,10.17283447265625,-6.990827594341884,-2.315647792349332,-1.9528318201163612
1775728231213363200,10.19136328125,-5.343877229515567,-7.067321568325363,9.161410596585624
1775728231231892000,10.20989208984375,-3.074659553031424,-7.017062545662572,-6.158512272814636
1775728231250420500,10.22842041015625,-6.540999737227998,-7.907707988614293,-7.351383949171636
1775728231268949200,10.24694921875,-6.540999737227998,-7.907707988614293,-7.351383949171636
1775728231287478000,10.26547802734375,-7.291223914706011,-2.6202833327285733,-0.32929128460259705
1775728231306006500,10.284006591796874,-7.291223914706011,-2.6202833327285733,-0.32929128460259705
